id,category,question,answer,priority,created_at
event-date,general,イベントの開催日時を教えてください,primeNumber DATA SUMMIT 2025は、2025年7月15日（火）〜16日（水）の2日間開催されます。開場時間は両日とも9:00、セッション開始は10:00からとなります。,1,2025-04-01T10:00:00+09:00
venue-access,venue,会場へのアクセス方法を教えてください,高輪ゲートウェイコンベンションセンターは、JR山手線・京浜東北線「高輪ゲートウェイ駅」直結です。東京駅から約8分、品川駅から約3分でアクセスできます。,1,2025-04-01T10:05:00+09:00
registration-fee,registration,参加費はいくらですか,一般参加は15,000円（税込）、早期割引（5月末まで）は12,000円（税込）です。学生は5,000円（要学生証）となっています。,2,2025-04-01T10:10:00+09:00
cancellation-policy,registration,キャンセルポリシーについて教えてください,開催2週間前までのキャンセルは全額返金、1週間前までは50%返金、それ以降はキャンセル料100%となります。参加者の変更は無料で承ります。,3,2025-04-01T10:15:00+09:00
wifi-availability,venue,Wi-Fi環境はありますか,はい、会場内では無料のWi-Fiをご利用いただけます。接続情報は当日会場でご案内します。また、出展者・登壇者向けの専用ネットワークもご用意しています。,2,2025-04-01T10:20:00+09:00
lunch-provision,general,ランチは提供されますか,はい、参加費にはランチボックスが含まれています。事前アンケートで食事の制限やアレルギーについてお知らせください。,3,2025-04-01T10:25:00+09:00
session-recording,speaker,セッションの録画・撮影はできますか,セッションの個人的な録画・撮影はご遠慮ください。主催者側で録画したコンテンツは、後日参加者限定で公開予定です。,2,2025-04-01T10:30:00+09:00
sponsorship-details,sponsor,スポンサーシップについて詳細を知りたいです,スポンサープランには、プラチナ、ゴールド、シルバーの3種類があります。詳細は「スポンサーガイド」をダウンロードいただくか、sponsor@primenumber-datasummit.jpまでお問い合わせください。,1,2025-04-01T10:35:00+09:00
booth-setup,sponsor,展示ブースの設営時間はいつですか,展示ブースの設営は7月14日（月）13:00〜18:00、または7月15日（火）7:00〜9:00に行ってください。搬入経路や注意事項については「ブース設営マニュアル」をご参照ください。,2,2025-04-01T10:40:00+09:00
presentation-submission,speaker,発表資料の提出期限はいつですか,発表資料は7月10日（木）17:00までにご提出ください。提出方法や資料作成のガイドラインについては「セッションガイドライン」をご確認ください。,1,2025-04-01T10:45:00+09:00
